pID	gr
2634604	5
4599816	1
2896432	2
4627099	1
61526	2
3214004	5
50910	1
4408208	8
1434103	10
1549056	1
3078768	9
3318938	5
2523076	3
1350354	1
3326236	4
25010295	1
4165494	6
4087340	1
2101259	5
3655300	3
3241645	1
1619768	2
4640209	8
3665467	3
4629901	2
2558693	2
25078654	1
30220840	10
3225652	1
3990252	3
1616524	2
3867251	3
2425618	1
24846	2
30109279	2
2999446	3
1351462	1
3878207	1
4110799	1
1442737	1
3835186	2
3784570	1
2091718	4
1484424	1
4220178	1
1704200	2
4255504	1
3439663	3
1727133	2
9771	2
4277094	2
2404809	1
3558110	2
3281749	2
25150806	1
1884232	3
2893415	2
2335182	5
3242982	1
25566506	4
40987584	3
1377406	1
3543368	1
40228449	3
68523	2
1353635	1
1236870	3
2985063	5
30024398	9
25073929	6
3488918	8
30113790	2
680461	7
2463293	1
1940176	1
4481627	4
25464280	2
2431608	1
25153066	1
2574158	4
4382560	3
1619318	2
69594	2
40537719	2
1434047	10
123514	2
51261	1
2352801	3
4280451	2
3783002	1
2363524	2
1305416	1
2241555	5
1549709	1
40752359	3
166724	6
3096630	1
2355021	2
1734035	2
1248367	3
1162990	10
4123430	3
3333966	2
4131307	1
4315060	1
4215223	1
1690137	2
42452	2
2136397	4
40891039	1
3244160	1
2523173	4
1468788	1
1619172	2
2354209	2
3808100	1
2807061	1
2824163	1
1911729	5
3235879	1
4122500	1
10462	2
2899370	2
589499	4
28228	1
40405776	1
40704248	9
30109914	2
11891	2
1163125	10
4262573	1
2112583	10
2740817	8
2237955	5
3318416	5
25055772	3
747441	10
3867134	3
25426126	2
41239303	1
25062843	3
2363303	2
4393038	8
40731387	1
40283031	9
40397469	6
3857464	6
2873688	2
3548235	1
4113734	1
25463195	2
3278481	1
29791183	8
3496131	1
1942309	1
4033984	1
40801011	1
25478281	3
3871321	2
3798202	1
215455	1
3054957	2
1403663	5
29373	2
4109856	1
25092551	10
3696029	3
30047781	1
3068073	1
40724358	3
3803305	1
40712	2
4539320	1
1378071	1
4126568	3
2130673	9
60793	2
1001732	10
4269550	2
33658	2
30012337	4
10100	2
1221267	1
25680129	2
23012374	1
3799031	1
41161413	10
3705807	1
4122509	1
3545625	1
4270424	2
5960	1
3881565	1
4266022	2
27759893	9
2367376	2
25743759	10
29646	2
4278049	2
258418	6
3891410	1
3871080	2
25605163	4
1301743	1
2357039	2
1385115	4
3699326	3
1218258	1
2258847	1
